symbol,period_end_date,close_price,intrinsic_value,bps,rnoa,MoS,nrShares,reason,eodhd_symbol,max_close_after_buy,max_close_date,max_return,days_to_max,double_date,days_to_double,fetch_status,fetch_error
4MS:PL,2019-03-29,0.0104,1.713705583756345,0.7121102248005802,2.884677419354839,0.9939312796208531,6895000.0,Penman TTM as-of 2019-03-29: value=1.71 >= close=0.01 * (1+MOS 70%),4MS.WAR,8.34,2024-02-09,800.9230769230769,1778,2020-07-08,467.0,ok,
AATC:US,2008-12-31,6.37,15.90790135883241,7.17916456970307,0.3280904786954234,0.5995700591603658,3974000.0,Penman TTM as-of 2008-12-31: value=15.91 >= close=6.37 * (1+MOS 70%),AATC.US,15.19,2010-02-08,1.3846153846153846,404,2009-09-18,261.0,ok,
ACCS:US,2009-06-30,0.1,1.0898809523809525,0.2136904761904761,1.768219178082192,0.9082468596395412,1680000.0,Penman TTM as-of 2009-06-30: value=1.09 >= close=0.10 * (1+MOS 70%),ACCS.US,32.27,2021-11-24,321.7,4530,2009-07-31,31.0,ok,
ACFN:US,2007-09-28,4.6801,76.55484896661369,112.1462639109698,0.0353199925044135,0.9388660540360934,629000.0,Penman TTM as-of 2007-09-28: value=76.55 >= close=4.68 * (1+MOS 70%),ACFN.US,30.58,2025-09-08,5.53404841776885,6555,2012-03-08,1623.0,ok,
ACNT:US,2008-12-31,4.8,8.700463777386856,10.053894130817207,0.0879485645933014,0.4483052716712007,6253000.0,Penman TTM as-of 2008-12-31: value=8.70 >= close=4.80 * (1+MOS 70%),ACNT.US,24.55,2018-08-08,4.114583333333334,3507,2009-08-25,237.0,ok,
ACQ:CA,2008-09-30,3.53,9.017358024691358,7.04237037037037,0.122330324763609,0.6085327886134562,20250000.0,Penman TTM as-of 2008-09-30: value=9.02 >= close=3.53 * (1+MOS 70%),ACQ.TO,90.45,2014-06-06,24.623229461756377,2075,2012-01-25,1212.0,ok,
ACTG:US,2003-03-31,1.21,2.147497581589532,2.0321775876992008,12.172552525704068,0.4365534981863012,19641000.0,Penman TTM as-of 2003-03-31: value=2.15 >= close=1.21 * (1+MOS 70%),ACTG.US,46.47,2011-09-16,37.40495867768595,3091,2003-07-29,120.0,ok,
AEHR:US,2008-08-29,4.37,7.979378498800411,4.444761795955673,0.3178077369847583,0.4523382991974915,8753000.0,Penman TTM as-of 2008-08-29: value=7.98 >= close=4.37 * (1+MOS 70%),AEHR.US,53.69,2023-08-01,11.28604118993135,5450,2021-09-07,4757.0,ok,
AEP:CA,2022-03-31,0.61,1.2767261245622965,0.3370095471822344,0.3974563626459512,0.5222154632348202,66825999.99999999,Penman TTM as-of 2022-03-31: value=1.28 >= close=0.61 * (1+MOS 70%),AEP.V,1.69,2024-04-22,1.7704918032786887,753,2023-05-08,403.0,ok,
AFL:AU,2006-03-31,69.1121,305.70000000000016,975.7,-0.3027652539825668,0.7739218187765785,10000.0,Penman TTM as-of 2006-03-31: value=305.70 >= close=69.11 * (1+MOS 70%),AFL.AU,417.9637,2007-06-29,5.047619736630779,455,2006-11-28,242.0,ok,
AII:CA,2014-03-31,0.8,1.77200032472804,1.1084185744439032,0.1697440273037542,0.5485328141106401,24636000.0,Penman TTM as-of 2014-03-31: value=1.77 >= close=0.80 * (1+MOS 70%),AII.TO,13.99,2025-10-14,16.487499999999997,4215,2025-02-05,3964.0,ok,
AKA:US,2021-09-30,8.56,56.79413362303096,55.52810972297664,0.1075505774495035,0.8492802081141567,7364000.0,Penman TTM as-of 2021-09-30: value=56.79 >= close=8.56 * (1+MOS 70%),AKA.US,30.5,2024-09-12,2.5630841121495322,1078,2024-05-01,944.0,ok,
AKW:FR,2014-09-30,11.15,22.590852997270108,8.448861299128678,0.2884940997619967,0.5064374062658292,26741000.0,Penman TTM as-of 2014-09-30: value=22.59 >= close=11.15 * (1+MOS 70%),AKW.PA,39.39,2017-05-26,2.5327354260089687,969,2016-09-23,724.0,ok,
AMMX:US,2018-06-29,0.025,0.479824794265994,0.064972126360499,0.2322658772874058,0.9478976486860304,15068000.0,Penman TTM as-of 2018-06-29: value=0.48 >= close=0.03 * (1+MOS 70%),AMMX.US,0.8199,2022-05-16,31.795999999999996,1417,2020-12-21,906.0,ok,
AMPG:US,2014-06-30,0.03,0.2757601351351351,-0.0912162162162162,0.6203592814371257,0.8912098009188362,1184000.0,Penman TTM as-of 2014-06-30: value=0.28 >= close=0.03 * (1+MOS 70%),AMPG.US,12.43,2021-04-05,413.33333333333337,2471,2016-11-01,855.0,ok,
AMS:US,2007-09-28,4.0425,8.631124776829994,4.458242412219797,0.1515014261406064,0.5316369413576345,5041000.0,Penman TTM as-of 2007-09-28: value=8.63 >= close=4.04 * (1+MOS 70%),AMS.US,4.75,2017-04-05,0.17501546072974633,3477,,,ok,
AP:US,2008-09-30,25.9,54.011493123772105,21.09312377210216,0.3954506581557532,0.5204724309204365,10180000.0,Penman TTM as-of 2008-09-30: value=54.01 >= close=25.90 * (1+MOS 70%),AP.US,32.6,2009-12-29,0.25868725868725884,455,,,ok,
APPS:US,2008-03-31,5.99,13.340614886731393,16.886037910309756,,0.5509952089271635,4326000.0,Penman TTM as-of 2008-03-31: value=13.34 >= close=5.99 * (1+MOS 70%),APPS.US,94.74,2021-03-01,14.81636060100167,4718,2020-06-30,4474.0,ok,
APT:US,2010-03-31,2.35,4.735258490157906,1.4967769846420074,0.4457381705655497,0.5037229741767202,23115000.0,Penman TTM as-of 2010-03-31: value=4.74 >= close=2.35 * (1+MOS 70%),APT.US,25.25,2020-02-27,9.744680851063828,3620,2014-10-09,1653.0,ok,
ARA:CA,2022-06-30,0.4,0.8949870540409227,1.1905116267627722,-0.2078874863843147,0.5530661609081663,162599000.0,Penman TTM as-of 2022-06-30: value=0.89 >= close=0.40 * (1+MOS 70%),ARA.TO,4.45,2025-10-14,10.124999999999998,1202,2025-04-30,1035.0,ok,
ARG:CA,2004-09-30,1.98,3.988947335462458,0.6776723652075897,1.5245083512931037,0.5036284429234138,63876000.0,Penman TTM as-of 2004-09-30: value=3.99 >= close=1.98 * (1+MOS 70%),ARG.TO,5.59,2026-01-13,1.823232323232323,7775,2025-12-10,7741.0,ok,
ARIS:CA,2009-01-09,0.03,71.57142857142857,24.857142857142858,-0.1555093427933576,0.9995808383233532,7000.0,Penman TTM as-of 2009-01-09: value=71.57 >= close=0.03 * (1+MOS 70%),ARIS.TO,24.95,2026-01-14,830.6666666666666,6214,2010-03-02,417.0,ok,
ASRT:US,2007-09-28,2.05,14.271951117435338,1.6459362182974806,13.943228346456731,0.8563616156521434,11947000.0,Penman TTM as-of 2007-09-28: value=14.27 >= close=2.05 * (1+MOS 70%),ASRT.US,33.28,2015-07-21,15.234146341463417,2853,2008-08-11,318.0,ok,
ASUR:US,2003-01-31,1.62,3.6868175765645814,9.019174434087883,-0.0307069652066061,0.5605966483675239,3755000.0,Penman TTM as-of 2003-01-31: value=3.69 >= close=1.62 * (1+MOS 70%),ASUR.US,19.06,2018-05-10,10.76543209876543,5578,2003-08-12,193.0,ok,
ATEC:US,2010-03-31,6.37,16.06226456902283,51.08553068912032,-0.093272275956518,0.6034183117438509,4513000.0,Penman TTM as-of 2010-03-31: value=16.06 >= close=6.37 * (1+MOS 70%),ATEC.US,22.68,2026-01-08,2.5604395604395602,5762,2020-12-17,3914.0,ok,
ATGN:US,2018-09-28,0.51,1.00635175879397,0.4507738693467337,,0.4932189509847002,24875000.0,Penman TTM as-of 2018-09-28: value=1.01 >= close=0.51 * (1+MOS 70%),ATGN.US,2.75,2020-12-18,4.392156862745098,812,2019-03-12,165.0,ok,
AVIR:US,2021-12-31,8.94,20.573392610516944,8.104884089897388,,0.5654581541680225,87611000.0,Penman TTM as-of 2021-12-31: value=20.57 >= close=8.94 * (1+MOS 70%),AVIR.US,9.19,2022-01-03,0.027964205816554812,3,,,ok,
AVNW:US,2003-03-31,2.07,106.80692925928606,8.167402794873652,1.227343856672942,0.9806192349657874,13811000.0,Penman TTM as-of 2003-03-31: value=106.81 >= close=2.07 * (1+MOS 70%),AVNW.US,83.95,2021-04-06,39.555555555555564,6581,2003-09-04,157.0,ok,
AXL:CA,2002-06-27,0.19,12.500000000000004,29.4,-0.6272240085744909,0.9848,10000.0,Penman TTM as-of 2002-06-27: value=12.50 >= close=0.19 * (1+MOS 70%),AXL.V,1.95,2014-11-20,9.263157894736842,4529,2004-11-04,861.0,ok,
AXTI:US,2011-12-30,4.17,8.105593468194005,4.479923226907141,0.2623543695942812,0.4855404460681506,32824000.0,Penman TTM as-of 2011-12-30: value=8.11 >= close=4.17 * (1+MOS 70%),AXTI.US,25.83,2026-01-08,5.194244604316546,5123,2017-07-27,2036.0,ok,
BBXIA:US,2021-12-31,10.01,22.959977833877225,19.955175173942493,0.1441925960807041,0.564023969342412,16241000.0,Penman TTM as-of 2021-12-31: value=22.96 >= close=10.01 * (1+MOS 70%),BBXIA.US,12.0,2022-02-08,0.19880119880119881,39,,,ok,
BCC:AU,2014-12-31,0.12,0.3617681216893748,0.1380902472877659,0.3490616621983914,0.668295814900364,35303000.0,Penman TTM as-of 2014-12-31: value=0.36 >= close=0.12 * (1+MOS 70%),BCC.AU,0.575,2021-11-09,3.7916666666666665,2505,2015-03-06,65.0,ok,
BEBE:US,2002-06-28,20.29,46.44828767123288,20.60970319634703,0.493713689337276,0.5631701184849848,8760000.0,Penman TTM as-of 2002-06-28: value=46.45 >= close=20.29 * (1+MOS 70%),BEBE.US,42.57,2005-06-02,1.098077870872351,1070,2004-12-23,909.0,ok,
BEW:CA,2004-06-30,0.14,7.129518072289162,29.46385542168675,-0.7592120509849363,0.9803633291085764,166000.0,Penman TTM as-of 2004-06-30: value=7.13 >= close=0.14 * (1+MOS 70%),BEW.V,1.0,2025-07-29,6.142857142857142,7699,2006-01-10,559.0,ok,
BKTI:US,2004-03-31,2.65,4.50816056462285,3.089104543449493,0.1305479061817491,0.4121771037181996,2267000.0,Penman TTM as-of 2004-03-31: value=4.51 >= close=2.65 * (1+MOS 70%),BKTI.US,87.47,2026-01-14,32.00754716981132,7959,2005-10-18,566.0,ok,
BLIN:US,2007-09-28,4.04,1712.571428571429,3267.8571428571427,-0.1831469440832249,0.997640974307641,7000.0,Penman TTM as-of 2007-09-28: value=1712.57 >= close=4.04 * (1+MOS 70%),BLIN.US,12.23,2021-07-06,2.0272277227722775,5030,2021-07-02,5026.0,ok,
