symbol,period_end_date,close_price,intrinsic_value,bps,rnoa,MoS,nrShares,reason
CTO:US,2005-03-31,11.9922,21.377545661434322,5.224951858551671,0.5308950809464508,0.4390282125962543,17137000.0,Penman TTM as-of 2005-03-31: value=21.38 >= close=11.99 * (1+MOS 70%)
SOHO:US,2005-03-31,4.1696,29.34421275309761,9.998488969477183,,0.8579072461380021,6618000.0,Penman TTM as-of 2005-03-31: value=29.34 >= close=4.17 * (1+MOS 70%)
SPOK:US,2005-03-31,7.11075,32.468265007320646,21.45095168374817,,0.780993841266334,27320000.0,Penman TTM as-of 2005-03-31: value=32.47 >= close=7.11 * (1+MOS 70%)
ASUR:US,2005-04-29,10.4,20.96001604707141,4.249531960417224,0.8686596543027619,0.5038171737729601,3739000.0,Penman TTM as-of 2005-04-29: value=20.96 >= close=10.40 * (1+MOS 70%)
CATO:US,2005-04-29,7.75124,14.597175478878999,7.141634951089863,0.2619803874671131,0.46899042138559927,31793000.0,Penman TTM as-of 2005-04-29: value=14.60 >= close=7.75 * (1+MOS 70%)
SOHO:US,2005-06-30,4.4939,23.400507159904535,9.836366348448687,0.30654613183119067,0.8079571536936581,6704000.0,Penman TTM as-of 2005-06-30: value=23.40 >= close=4.49 * (1+MOS 70%)
SPOK:US,2005-06-30,6.44201,27.582549768603542,21.50337912289723,0.21975840149922757,0.7664461750620037,27226000.0,Penman TTM as-of 2005-06-30: value=27.58 >= close=6.44 * (1+MOS 70%)
ISSC:US,2005-09-30,7.7317,15.267440571840195,5.422840361278883,1.3452461888908358,0.49358244012027663,18047000.0,Penman TTM as-of 2005-09-30: value=15.27 >= close=7.73 * (1+MOS 70%)
SOHO:US,2005-09-30,4.396,24.11008353221957,9.8438245823389,0.32126315789473686,0.8176696487125233,6704000.0,Penman TTM as-of 2005-09-30: value=24.11 >= close=4.40 * (1+MOS 70%)
SPOK:US,2005-09-30,5.92239,16.093843297167403,21.34595499890774,0.06898976425432114,0.632008968234308,27466000.0,Penman TTM as-of 2005-09-30: value=16.09 >= close=5.92 * (1+MOS 70%)
WILC:US,2005-09-30,2.91201,7.370168311085315,3.5705165409170054,0.3939739559946116,0.6048923339213153,8615000.0,Penman TTM as-of 2005-09-30: value=7.37 >= close=2.91 * (1+MOS 70%)
CATO:US,2005-10-31,9.04022,16.51913634646859,7.28695077426665,0.3188012830076085,0.4527425762223586,31772000.0,Penman TTM as-of 2005-10-31: value=16.52 >= close=9.04 * (1+MOS 70%)
CCO:US,2005-12-30,5.3333,9.637292382646395,3.6934868984093514,,0.4465976761685133,372741000.0,Penman TTM as-of 2005-12-30: value=9.64 >= close=5.33 * (1+MOS 70%)
CHCI:US,2005-12-30,98.77,174.21481665014863,72.08919722497522,0.3270370757985535,0.433056258364373,2018000.0,Penman TTM as-of 2005-12-30: value=174.21 >= close=98.77 * (1+MOS 70%)
ISSC:US,2005-12-30,6.3591,11.036011383537653,5.373029772329247,0.7128524046434495,0.42378638631291843,18272000.0,Penman TTM as-of 2005-12-30: value=11.04 >= close=6.36 * (1+MOS 70%)
RCMT:US,2005-12-30,2.34,4.038921425085407,6.156580445745893,0.0644237798837106,0.4206374044648521,12294000.0,Penman TTM as-of 2005-12-30: value=4.04 >= close=2.34 * (1+MOS 70%)
SOHO:US,2005-12-30,4.4697,10.142825178997613,9.698836515513127,0.10716115916226587,0.5593239633810067,6704000.0,Penman TTM as-of 2005-12-30: value=10.14 >= close=4.47 * (1+MOS 70%)
SPOK:US,2005-12-30,6.42617,19.524361400189214,19.394258059820977,0.10118108350496563,0.6708640109510715,27482000.0,Penman TTM as-of 2005-12-30: value=19.52 >= close=6.43 * (1+MOS 70%)
TATT:US,2005-12-30,4.6223,12.496060407091266,5.72242284963887,,0.6300994193836533,6092000.0,Penman TTM as-of 2005-12-30: value=12.50 >= close=4.62 * (1+MOS 70%)
WILC:US,2005-12-30,2.581,6.278641903656413,3.6863609982588508,0.27267174392082577,0.5889238406004751,8615000.0,Penman TTM as-of 2005-12-30: value=6.28 >= close=2.58 * (1+MOS 70%)
CATO:US,2006-01-31,9.77138,17.73803677118751,7.554086387104898,0.33359209139093887,0.44912843929425256,31764000.0,Penman TTM as-of 2006-01-31: value=17.74 >= close=9.77 * (1+MOS 70%)
CHCI:US,2006-03-31,77.07,158.88308457711443,72.93980099502488,0.2836980794997767,0.51492633589579,2010000.0,Penman TTM as-of 2006-03-31: value=158.88 >= close=77.07 * (1+MOS 70%)
SOHO:US,2006-03-31,4.341,10.757611587348507,9.381170558675732,0.12237679905812249,0.5964717665485121,6766000.0,Penman TTM as-of 2006-03-31: value=10.76 >= close=4.34 * (1+MOS 70%)
SPOK:US,2006-03-31,6.60617,23.88983020034178,19.849325528124204,0.1390380136372738,0.7234735473379176,27503000.0,Penman TTM as-of 2006-03-31: value=23.89 >= close=6.61 * (1+MOS 70%)
TATT:US,2006-03-31,4.5521,24.84926172318675,0.0,,0.8168114589999086,6163000.0,Penman TTM as-of 2006-03-31: value=24.85 >= close=4.55 * (1+MOS 70%)
WILC:US,2006-03-31,4.46729,7.873534532791642,4.685664538595473,0.3044860578533934,0.4326194949174781,8615000.0,Penman TTM as-of 2006-03-31: value=7.87 >= close=4.47 * (1+MOS 70%)
